Time,Ax,Ay,Az
6.28,-13056,5436,13084
6.3,-13004,5420,13276
6.32,-13052,5680,13420
6.34,-13012,5660,13376
6.36,-13112,5488,13168
6.38,-13132,5564,13096
6.4,-13144,5480,13252
6.42,-12976,5572,13308
6.44,-13044,5476,13256
6.46,-12996,5484,13320
6.48,-12980,5436,13248
6.5,-12976,5528,13480
6.52,-13124,5456,13384
6.54,-13016,5552,13320
6.56,-12932,5424,13220
6.58,-12912,5364,13344
6.6,-13056,5524,13376
6.62,-12992,5476,13284
6.64,-12944,5424,13172
6.66,-12872,5388,13308
6.68,-13040,5476,13296
6.7,-13120,5544,13508
6.72,-13036,5480,13416
6.74,-13024,5408,13348
6.76,-12948,5568,13440
6.78,-12948,5488,13352
6.8,-13096,5504,13256
6.82,-12948,5592,13208
6.84,-12956,5464,13176
6.86,-13184,5608,13272
6.88,-12996,5612,13348
6.9,-12960,5532,13220
6.92,-12988,5468,13336
6.94,-12912,5524,13184
6.96,-12880,5464,13316
6.98,-13016,5316,13228
7.0,-13048,5488,13276
7.02,-13060,5504,13376
7.04,-13064,5604,13224
7.06,-13000,5560,13192
7.08,-13124,5524,13296
7.1,-12944,5440,13448
7.12,-13056,5476,13340
7.14,-12976,5452,13252
7.16,-13068,5428,13348
7.18,-12908,5464,13348
7.2,-12924,5424,13452
7.22,-12888,5448,13272
7.24,-13048,5356,13264
7.26,-12920,5412,13348
7.28,-12968,5404,13264
7.3,-12920,5428,13464
7.32,-12964,5524,13316
7.34,-12944,5452,13244
7.36,-13056,5392,13440
7.38,-12928,5356,13428
7.4,-13004,5420,13400
7.42,-13076,5448,13248
7.44,-13024,5424,13308
7.46,-12988,5520,13280
7.48,-13032,5448,13304
7.5,-13064,5640,13388
7.52,-12928,5460,13344
7.54,-13004,5472,13268
7.56,-13016,5576,13428
7.58,-12876,5384,13288
7.6,-13064,5512,13280
7.62,-13000,5520,13532
7.64,-13056,5628,13512
7.66,-13168,5476,13340
7.68,-12960,5520,13364
7.7,-12924,5352,13400
7.72,-13152,5360,13292
7.74,-12996,5404,13428
7.76,-12944,5460,13492
7.78,-12896,5512,13304
7.8,-12988,5612,13332
7.82,-12960,5484,13340
7.84,-12964,5528,13328
7.86,-13104,5528,13320
7.88,-13088,5508,13308
7.9,-12984,5484,13144
7.92,-12888,5416,13232
7.94,-13096,5524,13292
7.96,-13032,5500,13408
7.98,-12884,5432,13404
8.0,-12912,5524,13316
