Time,GRS,Ax,Ay,Az,Gx,Gy,Gz,HR,SPO2
7.58,1036,-12876,5384,13288,337,-331,-46,77,56
7.60,1030,-13064,5512,13280,373,-504,55,77,56
7.62,1038,-13000,5520,13532,369,-778,74,77,56
7.64,1039,-13056,5628,13512,317,-524,17,77,56
7.66,1040,-13168,5476,13340,277,-455,-21,77,56
7.68,1045,-12960,5520,13364,247,-439,-35,77,56
7.70,1024,-12924,5352,13400,302,-495,62,77,56
7.72,1026,-13152,5360,13292,369,-524,97,77,56
7.74,1040,-12996,5404,13428,373,-581,40,77,56
7.76,1028,-12944,5460,13492,386,-408,3,77,56
7.78,1024,-12896,5512,13304,393,-362,-43,77,56
7.80,1044,-12988,5612,13332,437,-356,-11,77,56
7.82,1040,-12960,5484,13340,412,-367,41,77,56
7.84,1022,-12964,5528,13328,359,-446,84,77,56
7.86,1028,-13104,5528,13320,327,-466,24,77,56
7.88,1021,-13088,5508,13308,329,-470,1,77,56
7.90,1042,-12984,5484,13144,302,-407,-30,77,56
7.92,1042,-12888,5416,13232,314,-394,-14,77,56
7.94,1022,-13096,5524,13292,335,-512,41,77,56
7.96,1026,-13032,5500,13408,280,-551,6,77,56
7.98,1040,-12884,5432,13404,283,-540,23,77,56
8.00,1022,-12912,5524,13316,304,-340,42,77,56
8.02,1023,-12912,5424,13372,314,-330,42,77,56
8.04,1042,-13072,5232,13380,342,-493,37,77,56
8.06,1038,-12972,5328,13244,356,-494,128,77,56
8.08,1032,-13192,5552,13348,385,-387,120,77,56
8.10,1028,-13092,5476,13240,390,-326,66,77,56
8.12,1045,-13040,5424,13196,401,-483,18,77,56
8.14,1018,-12948,5604,13264,409,-589,34,77,56
8.16,1042,-12832,5496,13512,374,-495,60,77,56
8.18,1026,-12852,5440,13472,361,-334,27,77,56
8.20,1028,-12964,5372,13332,386,-307,76,77,56
8.22,1035,-12972,5504,13340,371,-412,68,77,56
8.24,1019,-12924,5368,13224,386,-453,26,77,56
8.26,1039,-13148,5496,13172,411,-389,47,77,56
8.28,1046,-12992,5536,13308,442,-433,12,77,56
8.30,1014,-12948,5504,13384,442,-394,-4,77,56
8.32,1037,-13092,5396,13328,444,-488,-19,77,56
8.34,1019,-12972,5464,13376,403,-493,55,77,56
8.36,1024,-12952,5544,13352,376,-445,25,77,56
8.38,1021,-12964,5536,13440,367,-391,36,77,56
8.40,1046,-13048,5540,13184,354,-461,40,77,56
8.42,1026,-12904,5556,13364,327,-462,52,77,56
8.44,1031,-13052,5460,13304,340,-431,87,77,56
8.46,1041,-13124,5564,13304,312,-539,14,77,56
8.48,1040,-12912,5368,13360,347,-371,-35,77,56
8.50,1042,-12900,5444,13296,389,-438,42,77,56
8.52,1024,-12920,5532,13264,397,-499,49,77,56
8.54,1026,-12892,5480,13360,407,-341,70,77,56
8.56,1038,-13052,5500,13216,400,-336,62,77,56
8.58,1030,-13060,5584,13264,466,-345,7,77,56
8.60,1037,-13184,5460,13132,441,-334,-6,77,56
8.62,1026,-12912,5620,13528,398,-623,-12,77,56
8.64,1038,-12788,5604,13336,333,-386,-26,77,56
8.66,1043,-12956,5512,13320,303,-376,13,77,56
8.68,1027,-12928,5384,13312,303,-516,75,77,56
8.70,1038,-13056,5456,13224,307,-556,87,77,56
8.72,1044,-13096,5316,13252,334,-415,34,77,56
8.74,1024,-13132,5384,13340,367,-426,50,77,56
8.76,1028,-12944,5472,13368,397,-469,17,77,56
8.78,1040,-12916,5476,13416,444,-528,39,77,56
8.80,1039,-12900,5496,13336,427,-494,68,77,56
8.82,1044,-13044,5504,13384,417,-461,32,77,56
8.84,1037,-13068,5428,13316,361,-356,-1,77,56
8.86,1027,-13072,5512,13404,367,-380,26,77,56
8.88,1022,-13044,5528,13424,371,-463,54,77,56
8.90,1037,-12912,5440,13376,399,-447,38,77,56
8.92,1040,-13176,5548,13384,416,-403,44,77,56
8.94,1043,-12904,5452,13384,402,-525,27,77,56
8.96,1041,-12988,5556,13320,405,-411,-1,77,56
8.98,1042,-12952,5560,13276,364,-528,-44,77,56
9.00,1042,-12948,5592,13252,393,-432,-4,77,56
9.02,1038,-13048,5472,13276,425,-489,13,77,56
9.04,1028,-12964,5488,13392,399,-367,122,77,56
9.06,1040,-13252,5516,13468,386,-415,89,77,56
9.08,1026,-13048,5628,13428,368,-484,26,77,56
9.10,1025,-12972,5480,13236,323,-288,-24,77,56
9.12,1045,-13100,5464,13232,338,-347,61,77,56
9.14,1042,-13016,5512,13348,382,-696,23,77,56
9.16,1042,-12968,5616,13476,329,-568,25,77,56
9.18,1042,-12792,5316,13396,386,-362,30,77,56
9.20,1022,-13048,5552,13308,458,-343,76,77,56
9.22,1045,-13128,5536,13320,441,-374,59,77,56
9.24,1037,-13072,5608,13324,416,-357,-2,77,56
9.26,1043,-13132,5568,13288,396,-361,11,77,56
9.28,1030,-13104,5624,13196,391,-422,32,77,56
9.30,1041,-13116,5464,13344,357,-568,10,77,56
9.32,1030,-12984,5368,13420,351,-495,7,77,56
9.34,1034,-13044,5504,13472,369,-485,-11,93,75
9.36,1038,-12824,5596,13576,320,-412,-18,93,75
9.38,1037,-13004,5368,13116,264,-472,34,93,75
9.40,1035,-12956,5232,12944,355,-509,107,93,75
9.42,1035,-13060,5384,13296,411,-591,84,93,75
9.44,1033,-13088,5596,13388,415,-596,-42,93,75
9.46,1040,-12796,5652,13364,411,-449,-14,93,75
9.48,1023,-12780,5512,13340,402,-452,46,93,75
9.50,1024,-13056,5476,13224,372,-378,130,93,75
9.52,1041,-13244,5464,13368,332,-431,71,93,75
9.54,1021,-13024,5440,13240,364,-388,29,93,75
9.56,1038,-13044,5552,13320,480,-425,53,93,75
9.58,1035,-12956,5560,13368,460,-440,45,93,75
9.60,1040,-12960,5584,13248,417,-364,90,93,75
9.62,1039,-13024,5548,13372,397,-369,109,93,75
9.64,1028,-13188,5572,13148,410,-378,80,93,75
9.66,1035,-13016,5492,13248,405,-406,-13,93,75
9.68,1034,-13088,5572,13232,413,-363,7,93,75
9.70,1040,-13088,5632,13292,363,-480,13,93,75
9.72,1031,-12988,5628,13280,350,-461,14,93,75
9.74,1038,-13164,5460,13468,355,-496,24,93,75
9.76,1028,-13028,5524,13464,324,-592,14,93,75
9.78,1040,-12924,5404,13368,296,-513,41,93,75
9.80,1044,-12928,5476,13236,341,-376,91,93,75
